Slot,Slug,Statut,Faction,Rareté,Type,Coût,ATQ,INT,CELL,Effet,Synchro (coût),Synchro (effet),Flavor,Full art,Zone,Rôle,Fichier attendu,Prompt Midjourney
R01,recrue-du-cycle,Forgée,RIKKEN,Standard,Traveler,1,1,2,Combinaison pré-CELL,,,,Le test peut la tuer. Elle a signé quand même.,Non,—,early drop,recrue-du-cycle.png,"young female recruit in a matte black training bodysuit vaulting over an obstacle wall, morning light shafts through high skylights, dust motes, instructors watching from a gantry, blue and amber training lights, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R02,technicienne-de-la-centrale,Forgée,RIKKEN,Standard,Traveler,2,1,3,Personnel de la Centrale,À l'arrivée : restaurez 2 Intégrité à une unité alliée.,,,"Huit cents mètres sous Odaiba, quelqu'un doit bien serrer les boulons.",Non,—,soigneur early,technicienne-de-la-centrale.png,"female engineer in dark work uniform riding an open elevator platform down a colossal glowing core shaft, hair blown upward, wrench on her shoulder, blue-white light rising from far below, amber safety beacons flashing past, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R03,operationnelle-cell-aqua,Forgée,RIKKEN,Standard,Traveler,2,2,2,CELL Aqua,,1,Hydro-blindage : +0/+2.,L'eau ne force pas. Elle trouve le chemin.,Non,—,synchro cheap,operationnelle-cell-aqua.png,"female operative in a matte black segmented exosuit walking out of the sea at dawn, ribbons of water spiraling off her cyan-lit conduits, wet sand mirroring the pink sky, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, medieval knight armor, text, watermark"
R04,eclaireuse-temporelle,Forgée,RIKKEN,Standard,Traveler,3,2,3,CELL de série · Course,Célérité.,,,Arrivée avant le rapport qui l'annonçait.,Oui,Z-01,tempo (Célérité),eclaireuse-temporelle.png,"female scout in a matte black segmented exosuit leaping between wooden scaffolding beams above the rooftops of 1888 paris at sunrise, blue suit seams trailing, sea of fog below, golden light on iron beams, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no eiffel tower, fantasy armor, text, watermark"
R05,garde-de-plateforme,Forgée,RIKKEN,Standard,Traveler,3,2,4,CELL de série · Rempart,Garde.,,,Personne ne passe. La question ne s'est jamais posée.,Non,—,mur early (Garde),garde-de-plateforme.png,"massive guard in a heavy matte black exosuit bracing wide-stance against a shockwave of blue light from an activating transfer platform, sparks streaming past him, his scarred face gritted and lit blue, amber alarms spinning, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, giant robot, full helmet, text, watermark"
R06,analyste-du-drft,Forgée,RIKKEN,Standard,Traveler,4,3,3,Personnel du DRFT,À l'arrivée : piochez une carte.,,,Il a lu votre dossier. Il a lu tous les dossiers.,Non,—,pioche,analyste-du-drft.png,"stern analyst with round glasses striding down a bright white archive hall, an armful of dossiers, loose pages flying behind him, holographic candidate faces flickering along the walls, cold daylight with one red rejected stamp, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R07,rappel-a-la-centrale,Forgée,RIKKEN,Standard,Protocole,2,,,,Renvoyez une unité alliée dans votre main. Votre Centrale restaure 3 Intégrité.,,,Le retour est toujours plus doux que le départ.,Non,—,soin / retour,rappel-a-la-centrale.png,"a runner dissolving into ascending blue-white light streaks mid-stride on a busy 2049 tokyo crosswalk in daylight, pedestrians turning in shock, his coffee cup suspended mid-air, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy magic, text, watermark"
R08,briefing-de-mission,Forgée,RIKKEN,Standard,Protocole,3,,,,Piochez 2 cartes.,,,Toutes les époques sur une table. Choisissez votre siècle.,Non,—,pioche,briefing-de-mission.png,"top-down view of officers standing on a glass floor above a huge rotating holographic map of seven historical eras, one era glowing blank and white, coffee cups and files scattered on the glass, blue glow lighting them from below, league of legends splash art, highly detailed, cinematic lighting --no fantasy magic, text, watermark"
R09,mariam-diallo,Forgée,RIKKEN,Rare,Traveler,3,2,4,CELL Caduceus,,1,Nano-fluide : restaurez 4 Intégrité à une unité alliée.,Sauver autrui la vide. Elle recommence quand même.,Non,—,soigneuse,mariam-diallo.png,"young franco-senegalese medic in a matte black segmented exosuit running through warm rain carrying a wounded soldier on her back, her palm glowing cyan against his chest, field camp lanterns smearing in the wet dusk, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R10,aiko-sakuraba,Forgée,RIKKEN,Rare,Traveler,2,1,3,CELL Stratos,,1,"Analyse : regardez les 3 prochaines cartes de votre deck, piochez-en une.",L'analyse reste probabiliste. C'est ce qui la ronge.,Non,—,valeur / info,aiko-sakuraba.png,"young japanese woman in a matte black segmented exosuit standing on the top beam of a radio tower at dawn, wind whipping her hair, HUD visor streaming blue data against the pale gold sky, clouds far below, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
R11,porteur-cell-pyros,À générer,RIKKEN,Rare,Traveler,4,,,,,,,,Non,—,Synchro dégâts,porteur-cell-pyros.png,"male traveler in a clearly visible matte black segmented exosuit with glowing ember channels, diving between new york style skyscrapers, flames streaming from his forearms and shoulders like a fiery wake behind him, his armor plates crisp and unobscured against the fire, fist cocked mid-strike, shattered glass glittering, cool blue city dusk against the blazing orange, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, body fully engulfed in fire, text, watermark"
R12,senior-descorte,Forgée,RIKKEN,Rare,Traveler,5,3,6,CELL de série · Bastion,Garde.,,,Trois cycles de recrues lui ont survécu. C'est le but.,Non,—,mur milieu (Garde),senior-descorte.png,"grey-templed veteran in a scarred matte black exosuit bracing his shoulder against a buckling steel door, impact flare blooming through the gap, debris flying past him, his blue seams flickering under the strain, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R13,transfert-durgence,Forgée,RIKKEN,Rare,Protocole,2,,,,Renvoyez un Traveler allié dans votre main. Son prochain Transfert coûte (1) de moins.,,,La Centrale n'aime pas les retours imprévus. Elle les autorise quand même.,Non,—,flexibilité,transfert-durgence.png,"a man in civilian clothes yanked off his feet toward a blazing blue-white light column, one arm dissolving into particles, terrified eyes meeting the viewer, morning light through tall lab windows, red alerts blinking, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy magic, text, watermark"
R14,bouclier-de-plateforme,Forgée,RIKKEN,Rare,Protocole,3,,,,Vos unités gagnent +0/+2.,,,Le dôme tient tant que la Centrale respire.,Non,—,protection,bouclier-de-plateforme.png,"squad of travelers in matte black exosuits kneeling under a translucent blue energy dome in a raging desert sandstorm, ancient arrows and debris shattering against the shield in amber bursts, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, creatures, text, watermark"
R15,coordinatrice-descouade,À générer,RIKKEN,Épique,Traveler,4,,,,,,,,Non,—,synergie Synchro,coordinatrice-descouade.png,"female coordinator in dark officer uniform leaning over the rail of a floating gantry, pointing sharply, a ring of giant mission screens glowing around her showing three different eras, blue light from below and amber comm lights, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
R16,viktor-volkov,Forgée,RIKKEN,Épique,Traveler,3,3,2,CELL Phaeton,Célérité.,1,Nitro : +2 Attaque jusqu'à la fin du tour.,"Il agit. Il pense après. Dans cet ordre-là, toujours.",Non,—,tempo burst,viktor-volkov.png,"young russian traveler grinning mid-leap high between two rooftops, orange nitro flames roaring from his calf conduits, 2049 tokyo spread far below in teal evening haze, his silhouette against the blazing sunset, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
R17,porteur-cell-magnus,Forgée,RIKKEN,Épique,Traveler,6,5,6,CELL Magnus,,2,Magnétosphère : vos autres Travelers gagnent +1/+1.,Le fer se souvient de lui.,Non,—,finisher collectif,porteur-cell-magnus.png,"traveler in a matte black segmented exosuit walking slowly across a cratered ancient battlefield as thousands of rusted blades and iron shards rise from the mud around him like reversed rain, bronze fog, his blue seams the only cold light, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, fantasy magic, text, watermark"
R18,allocation-denergie,Forgée,RIKKEN,Épique,Protocole,4,,,,"Ce tour-ci, vos Synchros coûtent (0).",,,La Centrale a hurlé six secondes. Toutes les équipes s'en souviennent.,Non,—,swing,allocation-denergie.png,"vertical view up the throat of a colossal energy core mid-overload, rings of machinery blazing blue-white, engineers zip-lining away on cables, steam and amber strobes, industrial cathedral scale, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no spaceship, explosion, text, watermark"
R19,yuriko-watanabe,À générer,RIKKEN,Légendaire,Traveler,5,,,,,,,,Oui,—,moteur de pioche,yuriko-watanabe.png,"stern japanese woman in an impeccable dark uniform standing in a vast white amphitheater as hundreds of holographic candidate portraits flicker out around her, only three still lit, her red pen paused over a list, cold daylight, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
R20,genjiro-hayashi,Forgée,RIKKEN,Légendaire,Traveler,6,4,7,Proto-CELL · 2000,Garde.,2,Onde percussive : inflige 2 dégâts à toutes les unités ennemies.,Sa puissance use son passé. Il paye ses années sans discuter.,Oui,—,tank AoE (Garde),genjiro-hayashi.png,"huge japanese man in his sixties charging through a collapsing wall in a first-generation exosuit of patinated copper and brass, steam pistons venting, rubble bouncing off his shoulders, warm brass light through the dust, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no medieval knight armor, fantasy armor, text, watermark"
R21,liang-chen,À générer,RIKKEN,Légendaire,Traveler,7,,,,,,,,Oui,—,top curve,liang-chen.png,"broad-shouldered chinese man in a heavy matte black exosuit frozen at the instant his fist meets a flooded arena floor, a crown of water erupting around the impact, shockwave rings in the shallow water, floodlights refracting through the spray, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, hulk, text, watermark"
R22,hugo-tachibana,Forgée,RIKKEN,Prismatique,Traveler,4,3,5,CELL-T,À l'arrivée : piochez une carte si vous contrôlez un autre Traveler.,2,Copiez l'effet de Synchro d'un autre Traveler allié synchronisé.,"Ce que le suit absorbe, c'est ce que l'équipe lui apporte.",Oui,Z-07,signature (Synthèse),hugo-tachibana.png,"19 year old french-japanese young man with light beige hair and one red strand falling backward through a shattering sky of seven eras, fragments showing paris scaffolds, snowy trenches, feudal bridges and ice seas, his prototype exosuit syncing with multi-hued light, calm eyes reaching upward, golden circle glowing on his chest, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
K01,agent-kairos,Forgée,KAIROS,Standard,Traveler,2,2,3,Sans CELL déclaré,À l'arrivée : regardez la main de votre adversaire.,,,Son badge RIKKEN est authentique. C'est bien le problème.,Non,—,info early,agent-kairos.png,"unremarkable agent in RIKKEN staff uniform walking through a crowded bright lobby, every other person motion-blurred, his badge catching a tiny red glint, cold daylight through glass, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
K02,taupe-du-recrutement,À générer,KAIROS,Standard,Traveler,1,,,,,,,,Non,—,early agressif,taupe-du-recrutement.png,"young candidate sprinting a fitness test among other recruits in a bright training hall, all straining except him, effortless, eyes sliding sideways toward the viewer, one thin red thread bracelet, harsh white light, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
K03,executant-de-nuit,À générer,KAIROS,Standard,Traveler,2,,,,,,,,Non,—,trade,executant-de-nuit.png,"operative in a stolen matte black exosuit dropping from a ceiling vent into a server aisle, coat flaring, red miscalibrated seams sputtering, cool blue server glow below him, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
K04,guetteur-du-moment,À générer,KAIROS,Standard,Traveler,3,,,,,,,,Non,—,punisher anti-Synchro,guetteur-du-moment.png,"patient watcher in dark civilian clothes sitting on the roof of a ferris wheel cabin at dusk over tokyo bay, binoculars resting on his knee, wind in his coat, the fairground lights violet and gold below, one red beacon blinking far across the water, league of legends splash art, highly detailed, cinematic lighting --no fantasy armor, text, watermark"
K05,porteur-de-cell-vole,Forgée,KAIROS,Standard,Traveler,3,3,2,CELL volé · sans registre,Célérité.,,,Le suit grésille. Il s'en fout.,Non,—,agressif,porteur-de-cell-vole.png,"kairos fighter in a mismatched bolted exosuit charging straight at the viewer down a parking ramp, sparks bursting from misfiring red calf conduits, sodium lights streaking overhead, league of legends splash art, highly detailed, dynamic composition, cinematic lighting --no fantasy armor, text, watermark"
